0.14646 , -0.26227 , -1.48759 
0.15728 , 1.09199 , -1.21747 
0.14995 , -1.72391 , -0.09472 
0.42103 , -0.64616 , -1.69762 
0.19432 , -1.49953 , 1.62821 
0.32688 , 1.53390 , -1.76445 
0.42884 , -1.14525 , -2.26925 
0.32962 , -2.80969 , -0.25863 
0.31150 , -2.45215 , -1.69350 
0.28592 , 2.93285 , 1.24224 
0.56940 , 1.73860 , 3.01201 
0.18597 , 3.49453 , -3.77185 
0.10337 , -2.59156 , 4.72661 
0.07421 , -2.17253 , -5.20453 
0.11740 , -5.02316 , 3.45731 
0.06285 , -4.54916 , 4.44535 
0.05049 , 4.47338 , 4.88518 
0.05468 , -5.76765 , -3.64310 
