,ident,com,nplanets,massbudget,massefficiency,sigmag0,md,rc,ms,metal,taugas,qest,ngi,mtr,apert
0,3.0,1.2591926912696048,11.0,10834.048717725938,0.5803954670210324,90.79333656804815,0.055999999999999994,29.539342880249023,0.8801136016845703,0.328145831823349,1644710.625,8.421395301818846,3.0,7.36072068046513,0.10000000149011612
1,5.0,2.2064177396212012,8.0,3875.8418151312703,0.10570477677630738,102.43159343125014,0.11,38.9774284362793,1.075269103050232,-0.1501600593328476,1014449.0625,5.4648308753967285,1.0,3.6078089272109897,0.10000000149011612
2,6.0,2.374831490232741,13.0,1146.508717611436,0.0286627179402859,75.74087794063331,0.12,47.34337997436523,0.8615948557853699,0.021272709593176842,1790533.125,4.412694454193115,1.0,15.291502870808198,0.10000000149011612
3,8.0,7.121773413707735,11.0,10.520307779353873,0.00021040615558707746,62.73733748351793,0.15,58.15892791748047,1.0766584873199463,-0.282408207654953,6017040.5,4.704798221588135,0.0,10.520307779353873,0.10000000149011612
4,13.0,14.356889003974205,6.0,3.4807997380825206,6.142587773086801e-05,178.83070031517818,0.17,36.67222213745117,1.2064448595047,-0.17403939366340634,3956707.5,3.998512744903565,0.0,3.4807997380825206,0.10000000149011612
5,15.0,9.272451317594323,10.0,16.446898493986197,0.00044855177710871445,106.82475890119792,0.11,38.16754150390625,0.986002802848816,0.3886128067970276,2435405.5,5.218174934387207,0.0,16.446898493986197,0.10000000149011612
6,16.0,4.985124621401651,23.0,807.9864494125954,0.014258584401398744,118.54372046930463,0.17,45.0421371459961,1.2587469816207886,-0.35245949029922485,1107031.75,4.469478130340576,1.0,8.678656261276391,0.10000000149011612
7,17.0,4.103571800476659,15.0,17.595161571453442,0.0008513787857154892,35.58773804194665,0.062,49.64545059204102,0.7397308349609375,0.12186644971370696,9050091.0,7.257983207702638,0.0,17.595161571453442,0.10000000149011612
8,18.0,3.159518546046787,7.0,0.6559101325740461,0.0001311820265148092,15.783316512688515,0.015,36.66741561889648,0.9935557842254641,-0.2357337325811386,2729899.5,38.29852294921875,0.0,0.6559101325740461,0.10000000149011612
9,21.0,3.9547061091952305,10.0,9.6314586485531,0.0004187590716762217,40.76765017696754,0.069,48.9328498840332,0.7484395503997802,-0.11295174807310104,7350033.0,6.6528844833374015,0.0,9.6314586485531,0.10000000149011612
10,22.0,3.75891418275264,20.0,6.223974443996024,0.0005046465765402181,33.50652575164773,0.037000000000000005,39.52482604980469,1.0586106777191162,0.13673268258571625,1188361.5,16.342405319213867,0.0,6.223974443996024,0.10000000149011612
11,23.0,6.882841895724902,8.0,11.532494874962746,0.00026613449711452485,96.202484905458,0.13,43.72323989868164,0.8187181949615479,-0.006988266482949257,3987886.0,3.62162446975708,0.0,11.532494874962746,0.10000000149011612
12,24.0,5.099248113464189,10.0,630.8428672894615,0.01720480547153077,109.07520777965988,0.11,37.771751403808594,0.7538620829582214,-0.09992839395999907,1472218.25,3.918910503387451,1.0,17.917800048602146,0.10000000149011612
13,27.0,10.922762677473647,9.0,12.4491464822826,0.00024898292964565204,136.22573996029413,0.15,39.46842956542969,0.9680908322334286,0.1544717252254486,3372165.0,3.8041913509368896,0.0,12.4491464822826,0.10000000149011612
14,29.0,4.331511005936696,15.0,20.235860434987973,0.000995206250901048,55.30904030493498,0.061,39.50032424926758,1.0911380052566526,-0.021362880244851112,3324268.75,10.40492343902588,0.0,20.235860434987973,0.10000000149011612
