,ident,com,nplanets,massbudget,massefficiency,sigmag0,md,rc,ms,metal,taugas,qest,ngi,mtr,apert
290,411.0,6.908424815929435,10.0,11.98709242682391,0.00022475798300294832,117.553491007052,0.16,43.880950927734375,1.34407103061676,-0.3007563352584839,6842255.0,4.889523506164551,0.0,11.98709242682391,0.30000001192092896
291,412.0,4.0299273043401405,22.0,6.76239997850299,0.00036227142741980306,26.236400491054425,0.055999999999999994,54.95101165771485,1.0933499336242676,-0.07286673039197923,1707553.375,12.154003143310547,0.0,6.76239997850299,0.30000001192092896
292,413.0,11.790371601253101,12.0,17.421753724405946,0.0003074427127836343,122.53192584463257,0.17,44.30305099487305,1.020124673843384,0.4730097949504852,6972983.0,3.601881742477417,0.0,17.421753724405946,0.30000001192092896
293,414.0,9.862491565939813,13.0,14.022678895058677,0.0001618001410968309,155.6127129434942,0.26,48.61809539794922,1.363029718399048,-0.2526416182518005,5591417.0,3.2018344402313232,0.0,14.022678895058677,0.30000001192092896
294,415.0,0.08337581590095453,10.0,4388.259957597475,0.10126753748301864,63.439544408736964,0.13,53.842529296875,1.02982234954834,0.2353229820728302,1283650.125,4.9667534828186035,1.0,3.9425242414959065,0.30000001192092896
295,417.0,5.019716494112362,10.0,13.00221396703611,0.0002786188707222023,52.03991558577537,0.14,61.69209671020508,0.7220615744590759,-0.09495925158262253,4383741.5,3.3862929344177246,0.0,13.00221396703611,0.30000001192092896
296,418.0,0.08656642370669382,12.0,6254.335181103903,0.20394571242730117,55.368265985148476,0.092,48.48386764526367,1.022297978401184,-0.03542884811758995,5095028.5,6.75084924697876,1.0,13.81045046568209,0.30000001192092896
297,419.0,4.448066787434887,20.0,4.459865764901258,0.00027874161030632863,62.311305832433185,0.048,33.01193618774414,1.172662377357483,-0.35121509432792664,2206075.0,13.46864414215088,0.0,4.459865764901258,0.30000001192092896
298,420.0,7.3348766594085655,7.0,7.172244628800676,0.00017930611572001688,129.0026760559078,0.12,36.27647399902344,0.9036462903022765,-0.043117564171552665,1345810.125,4.266863822937012,0.0,7.172244628800676,0.30000001192092896
299,421.0,12.98521898379197,12.0,10.98723566102077,0.00021974471322041544,65.31862012610493,0.15,56.99817276000977,1.120974063873291,0.26530057191848755,3125141.75,4.670035362243652,0.0,10.98723566102077,0.30000001192092896
300,423.0,3.050169093523531,9.0,122.05200140600233,0.0030513000351500585,73.92255421475541,0.12,47.92211151123047,0.8085460662841796,0.13350965082645416,3319864.25,4.195786476135254,1.0,8.799122223223735,0.30000001192092896
301,424.0,8.252164955979874,10.0,9.094267626824815,0.00014359369937091813,182.7699741865881,0.19,38.349365234375,1.0225992202758787,-0.1969895213842392,1564584.125,3.085123538970948,0.0,9.094267626824815,0.30000001192092896
302,425.0,3.459864006281856,20.0,11.909327131582101,0.0006268066911359001,28.146254313498808,0.057,53.5255241394043,0.9736098051071165,-0.05191139131784439,2015308.5,10.692879676818848,0.0,11.909327131582101,0.30000001192092896
303,426.0,0.10614813863293304,12.0,3316.960739878575,0.15077094272175343,53.67109780036642,0.066,41.70955276489258,0.8846302032470703,0.024511037394404408,5719741.5,7.8200788497924805,2.0,6.720093054754271,0.30000001192092896
304,427.0,8.328102815700062,12.0,14.62203305388413,0.00036555082634710323,50.26218768039528,0.12,58.11707305908203,1.1080800294876099,0.12931390106678006,2888687.0,6.01007604598999,0.0,14.62203305388413,0.30000001192092896
305,428.0,0.05543292735659772,8.0,2369.143664156502,0.13410247155602842,45.44834498619483,0.053,40.617454528808594,0.7303098440170288,0.2753526270389557,5824295.5,8.08135986328125,1.0,9.612236415145992,0.30000001192092896
306,431.0,0.23850446084609203,11.0,952.781574555152,0.017864654522909102,146.92396922314057,0.16,39.25070571899415,1.3748692274093626,-0.08296757191419601,6303497.0,4.854870796203612,1.0,8.672931404160046,0.30000001192092896
307,432.0,7.545166587943638,11.0,15.376612529643158,0.0002713519858172322,81.03166210700655,0.17,54.47922134399414,1.1357349157333374,-0.07536013424396515,7717246.0,4.1372408866882315,0.0,15.376612529643158,0.30000001192092896
308,433.0,5.444932951833587,9.0,8.947729339287891,0.00031213009323097294,81.86862280729073,0.086,38.549991607666016,0.7799055576324463,-0.03491491824388504,8168745.0,5.177404880523682,0.0,8.947729339287891,0.30000001192092896
309,434.0,3.701560703171638,12.0,2.175418247945067,0.0003263127371917601,10.920004743796058,0.02,50.90229797363281,0.946398198604584,-0.07020092010498047,3851974.25,29.36998176574707,0.0,2.175418247945067,0.30000001192092896
310,435.0,4.65889935473106,9.0,12.921426885226195,0.0002584285377045239,133.0119051918418,0.15,39.94240188598633,0.9054217934608461,-0.2915909588336945,1968643.375,3.4365322589874268,0.0,12.921426885226195,0.30000001192092896
311,436.0,4.672462901853286,25.0,23.026041779836234,0.0005756510444959058,105.20970174963293,0.12,40.16950988769531,1.3433399200439455,-0.08410441875457764,1073882.875,6.314268112182617,0.0,23.026041779836234,0.30000001192092896
312,437.0,1.8304806920143193,10.0,33.703341639209974,0.001218193071296746,66.50819362948053,0.083,42.01799011230469,0.958097577095032,0.006698579993098974,4620308.5,6.773194313049316,1.0,6.535862038708705,0.30000001192092896
313,438.0,4.7622018256702106,12.0,14.60266873732928,0.0007822858252140686,56.83162398302321,0.055999999999999994,37.33642959594727,1.2662189006805422,-0.11051544547080994,8900235.0,12.863525390625,0.0,14.60266873732928,0.30000001192092896
314,439.0,10.527793543177538,8.0,6.4812364523111174,0.00021846864445992538,43.25525127190672,0.08899999999999998,53.95222854614258,1.1011711359024048,0.15143728256225586,3754049.75,7.752946376800537,0.0,6.4812364523111174,0.30000001192092896
315,440.0,6.118761598925146,13.0,10.864622785570512,0.00021729245571141026,85.30646711189884,0.15,49.87563705444336,1.2876261472702026,-0.2454306036233902,1996555.0,5.245699882507324,0.0,10.864622785570512,0.30000001192092896
316,441.0,2.5057339882932874,11.0,4127.5788188911465,0.14741352924611237,60.97448170384363,0.084,44.1468162536621,0.7016202211380005,0.17577408254146576,2136791.5,4.959347724914551,1.0,11.25255948899974,0.30000001192092896
317,442.0,5.188699053704698,10.0,13.655719506927634,0.0007187220793119807,34.3181884878042,0.057,48.474021911621094,1.3535240888595583,0.061899352818727486,9637529.0,14.450950622558596,0.0,13.655719506927634,0.30000001192092896
